"alpha1","alpha2","alpha3"
2.99129954881306,-1.73624910536936,3.71910594355301
2.9915812719162,-1.61803398874989,3.80422606518061
2.99180832877641,-1.49737977432971,3.87433264451452
2.99198278554713,-1.37476262917145,3.92914900291475
2.99210624941839,-1.25066646712861,3.96845880525791
2.99217986847904,-1.12558103905863,3.99210691371309
2.99220433162036,-1,4
2.99217986847904,-0.874418960941373,3.99210691371309
2.99210624941839,-0.749333532871391,3.96845880525791
2.99198278554713,-0.62523737082855,3.92914900291475
2.99180832877641,-0.50262022567029,3.87433264451452
2.9915812719162,-0.381966011250105,3.80422606518061
2.99129954881306,-0.263750894630643,3.71910594355301
2.99096063453226,-0.148441416869854,3.61930820986408
2.99056154558785,-0.03649265179657,3.50522672017545
2.99009884022531,0.0716535899579929,3.37731170200806
2.98956861876202,0.175570504584946,3.23606797749979
2.98896652399177,0.274847979497379,3.08205297110316
2.98828774166026,0.369094211857377,2.91587450968565
2.98752700101939,0.457937254842823,2.73818842371475
2.98667857546894,0.541026485551579,2.54969595899476
2.98573628329508,0.618033988749895,2.35114100916989
2.98469348851594,0.68865585100403,2.14330717991599
2.9835431018452,0.752613360087727,1.92701469640686
2.9822775817857,0.809654104932039,1.70311716626029
2.98088893586554,0.859552971776503,1.47249821073871
2.97936872203018,0.902113032590307,1.23606797749979
2.97770805020486,0.937166322257262,0.99475954865942
2.9758975840421,0.964574501457377,0.7495252583429
2.97392754287041,0.984229402628956,0.501332934257218
2.97178770386043,0.996053456856543,0.251162078117254
2.96946740442606,1,2.44929359829471e-16
2.96695554487854,0.996053456856543,-0.251162078117254
2.96424059135235,0.984229402628956,-0.501332934257217
2.96131057902239,0.964574501457377,-0.749525258342899
2.95815311563286,0.937166322257262,-0.994759548659419
2.95475538535858,0.902113032590307,-1.23606797749979
2.95110415302061,0.859552971776503,-1.47249821073871
2.94718576867842,0.809654104932039,-1.70311716626029
2.94298617262143,0.752613360087727,-1.92701469640686
2.93849090078385,0.68865585100403,-2.14330717991599
2.9336850906066,0.618033988749895,-2.35114100916989
2.92855348737151,0.541026485551579,-2.54969595899476
2.92308045103279,0.457937254842823,-2.73818842371475
2.92562150296821,-2.36909421185738,-2.91587450968565
2.9311474309695,-2.45793725484282,-2.73818842371475
2.9363234718459,-2.54102648555158,-2.54969595899476
2.9411657082451,-2.6180339887499,-2.35114100916989
2.94568984044255,-2.68865585100403,-2.14330717991599
2.94991117919863,-2.75261336008773,-1.92701469640686
2.9538446391343,-2.80965410493204,-1.70311716626029
